customer_id ,customer_name            ,country
          1 ,Samuel Marshall          ,Luxembourg
          2 ,Samantha Salas           ,Argentina
          3 ,Michael Orozco           ,Guernsey
          4 ,Jeanette Henry           ,Gambia
          5 ,Alexis Chaney            ,Morocco
          6 ,Kelly Elliott            ,Cote d'Ivoire
          7 ,Brian Bell               ,Palestinian Territory
          8 ,Leah Johnson             ,Solomon Islands
          9 ,Vanessa Deleon           ,Niue
         10 ,Ian Martinez             ,Western Sahara
         11 ,Kayla Sanders            ,Tuvalu
         12 ,Jimmy Hudson             ,Poland
         13 ,Annette Carr             ,Netherlands
         14 ,Matthew Warren           ,Rwanda
         15 ,David May                ,Mongolia
         16 ,Julie Clark              ,Belize
         17 ,Karen Collins            ,Netherlands Antilles
         18 ,James Hensley            ,Madagascar
         19 ,Michael Hill             ,Monaco
         20 ,Jessica Gonzalez         ,Palestinian Territory
         21 ,James Palmer             ,Mauritius
         22 ,Monica Rodgers           ,Angola
         23 ,Lydia Petersen           ,Rwanda
         24 ,Alison Hart              ,Lesotho
         25 ,Billy Dunn               ,Sierra Leone
         26 ,Jordan Hardin            ,Cayman Islands
         27 ,Mark White               ,French Guiana
         28 ,Beverly Maldonado        ,Isle of Man
         29 ,Christina Barry DVM      ,Botswana
         30 ,Gary Hill                ,USA
         31 ,Alejandro Diaz           ,Slovakia (Slovak Republic)
         32 ,Meghan Crawford          ,Turks and Caicos Islands
         33 ,Stephanie Rogers         ,Romania
         34 ,Alex Davis               ,Malaysia
         35 ,Robert Mullins           ,Greenland
         36 ,Andrew Kelley            ,Mozambique
         37 ,Brian Washington         ,Switzerland
         38 ,Shannon Klein            ,Albania
         39 ,Christina Ochoa          ,Bouvet Island (Bouvetoya)
         40 ,Carmen Riley             ,Pakistan
         41 ,Eric Lynch               ,Turks and Caicos Islands
         42 ,Mrs. Wendy Webb DDS      ,Antigua and Barbuda
         43 ,Michael Anderson         ,Malawi
         44 ,Gloria Duran             ,Palestinian Territory
         45 ,Jason Hines              ,Oman
         46 ,Rachel Strickland        ,Greece
         47 ,Douglas Wilcox           ,Cook Islands
         48 ,Jonathan Adams           ,Vietnam
         49 ,Margaret Ho              ,Slovenia
         50 ,John Burke               ,Peru
         51 ,Emily Brooks             ,Panama
         52 ,Theresa Stewart          ,Turkey
         53 ,Kenneth Reid             ,Liberia
         54 ,Martha Garcia            ,Aruba
         55 ,Barbara Smith            ,Antigua and Barbuda
         56 ,Nicholas Stanley         ,Botswana
         57 ,James Lloyd              ,Peru
         58 ,Jennifer Casey           ,Mayotte
         59 ,Rebecca Henry            ,Tonga
         60 ,Kristie Wang             ,Holy See (Vatican City State)
         61 ,Yolanda Scott            ,Grenada
         62 ,Margaret Moore           ,Romania
         63 ,Daniel Reed              ,Finland
         64 ,Alexis Johnson           ,Bhutan
         65 ,Pamela Turner            ,Libyan Arab Jamahiriya
         66 ,Christine Young          ,Turkey
         67 ,Timothy Cox              ,Congo
         68 ,Gina Orr                 ,Russian Federation
         69 ,Joshua Todd              ,Turkmenistan
         70 ,Randy Hughes             ,Bahrain
         71 ,David Mason              ,Angola
         72 ,Mario Boyd               ,Indonesia
         73 ,Whitney Pacheco          ,Jamaica
         74 ,Mrs. Melinda Bauer       ,French Southern Territories
         75 ,Tracy Dean               ,Bolivia
         76 ,Mrs. Amanda Cochran DDS  ,Mayotte
         77 ,Lisa Hughes              ,Timor-Leste
         78 ,Brittany Turner          ,Vietnam
         79 ,Benjamin Salinas         ,Comoros
         80 ,Margaret Reed            ,Chad
         81 ,Jack Hodge               ,Iran
         82 ,Michelle Smith           ,Svalbard & Jan Mayen Islands
         83 ,Vanessa Hunter           ,Mauritania
         84 ,Joseph Miller            ,Tonga
         85 ,Gail Sullivan            ,Bolivia
         86 ,Crystal Lucero           ,Dominica
         87 ,Leslie Kirk              ,Saint Helena
         88 ,Jacqueline Green         ,Tanzania
         89 ,Christina Bryant         ,Tonga
         90 ,Jeffrey Little           ,Burundi
         91 ,Brett Young              ,Puerto Rico
         92 ,Brian Wilson             ,Bahamas
         93 ,Scott Pratt              ,Eritrea
         94 ,Elizabeth Crane          ,Venezuela
         95 ,Barbara Wheeler          ,Comoros
         96 ,Angela Alvarez           ,Equatorial Guinea
         97 ,Nicole Allen             ,Hong Kong
         98 ,Eric Simmons             ,Nicaragua
         99 ,Sarah Snyder             ,Saint Kitts and Nevis
        100 ,Richard Gibson           ,Hong Kong
        101 ,Jessica Martin           ,Norway
        102 ,Rachel Aguirre           ,British Virgin Islands
        103 ,Samantha Kim             ,Ireland
        104 ,Angel Whitney            ,Lithuania
        105 ,Michael Jackson          ,Grenada
        106 ,John Morales             ,Vietnam
